datetime,GLD,cash,commission,total,returns,equity_curve,drawdown
2022-05-13,16878.99932861328,91531.09880981442,16.900000000000002,108410.0981384277,-0.0012713303137240617,1.084100981384272,0.04054600427246369
2022-05-16,17039.999389648438,91531.09880981442,16.900000000000002,108571.09819946285,0.0014851020689010674,1.0857109819946233,0.03893600366211225
2022-05-17,16933.00018310547,91531.09880981442,16.900000000000002,108464.09899291988,-0.0009855220064771686,1.0846409899291938,0.04000599572754182
2022-05-18,16941.99981689453,91531.09880981442,16.900000000000002,108473.09862670895,8.297338817753186e-05,1.0847309862670844,0.03991599938965118
2022-05-19,17191.000366210938,91531.09880981442,16.900000000000002,108722.09917602535,0.0022955050834612134,1.0872209917602484,0.03742599389648715
2022-05-20,17202.999877929688,91531.09880981442,16.900000000000002,108734.0986877441,0.00011036865374824956,1.087340986877436,0.03730599877929963
2022-05-23,17283.00018310547,91531.09880981442,16.900000000000002,108814.09899291988,0.0007357425696379316,1.0881409899291938,0.03650599572754176
2022-05-24,17413.00048828125,91531.09880981442,16.900000000000002,108944.09929809567,0.0011947009291897182,1.0894409929809517,0.03520599267578395
2022-05-25,17308.00018310547,91531.09880981442,16.900000000000002,108839.09899291988,-0.0009637998372769019,1.088390989929194,0.03625599572754168
2022-05-26,17275.999450683594,91531.09880981442,16.900000000000002,108807.09826049801,-0.00029401871862200224,1.0880709826049753,0.03657600305176034
2022-05-27,17285.000610351562,91531.09880981442,16.900000000000002,108816.09942016598,8.272584980084652e-05,1.0881609942016548,0.0364859914550808
2022-05-31,17113.999938964844,91531.09880981442,16.900000000000002,108645.09874877926,-0.0015714648135515263,1.0864509874877877,0.03819599816894792
2022-06-01,17222.999572753906,91531.09880981442,16.900000000000002,108754.09838256832,0.0010032632400758246,1.0875409838256782,0.03710600183105739
2022-06-02,17435.000610351562,91531.09880981442,16.900000000000002,108966.09942016598,0.001949361364312896,1.0896609942016549,0.034985991455080745
2022-06-03,17258.00018310547,91531.09880981442,16.900000000000002,108789.09899291988,-0.0016243623309263322,1.087890989929194,0.036755995727541624
2022-06-06,17182.000732421875,91531.09880981442,16.900000000000002,108713.09954223629,-0.0006985943572208608,1.087130995422358,0.03751599023437757
2022-06-07,17294.000244140625,91531.09880981442,16.900000000000002,108825.09905395504,0.001030230139609234,1.0882509905395454,0.03639599511719016
2022-06-08,17277.999877929688,91531.09880981442,16.900000000000002,108809.0986877441,-0.0001470282715111404,1.0880909868774362,0.03655599877929938
2022-06-09,17222.999572753906,91531.09880981442,16.900000000000002,108754.09838256832,-0.0005054752391031592,1.0875409838256784,0.03710600183105717
2022-06-10,17453.99932861328,91531.09880981442,16.900000000000002,108985.0981384277,0.002124055638315081,1.089850981384272,0.03479600427246354
2022-06-13,16992.999267578125,91531.09880981442,16.900000000000002,108524.09807739254,-0.0042299366510604175,1.0852409807739205,0.03940600488281509
2022-06-14,16857.000732421875,91531.09880981442,16.900000000000002,108388.09954223629,-0.0012531643898967548,1.083880995422358,0.04076599023437755
2022-06-15,17077.000427246094,91531.09880981442,16.900000000000002,108608.09923706051,0.002029740310544703,1.0860809923706,0.038565993286135525
2022-06-16,17269.000244140625,91531.09880981442,16.900000000000002,108800.09905395504,0.0017678222733228388,1.0880009905395454,0.036645995117190244
2022-06-17,17127.000427246094,91531.09880981442,16.900000000000002,108658.09923706051,-0.0013051441876363867,1.0865809923706,0.03806599328613558
2022-06-21,17063.00048828125,91531.09880981442,16.900000000000002,108594.09929809567,-0.000589002931343563,1.0859409929809516,0.03870599267578401
2022-06-22,17130.999755859375,91531.09880981442,16.900000000000002,108662.09856567379,0.000626178291616597,1.0866209856567328,0.03802600000000278
2022-06-23,17025.999450683594,91531.09880981442,16.900000000000002,108557.09826049801,-0.0009663010981912912,1.085570982604975,0.03907600305176051
2022-06-24,17008.999633789062,91531.09880981442,16.900000000000002,108540.09844360348,-0.00015659793018540924,1.0854009844360297,0.03924600122070587
2022-06-27,16989.999389648438,91531.09880981442,16.900000000000002,108521.09819946285,-0.0001750527631085852,1.0852109819946234,0.039436003662112196
2022-06-28,16961.99951171875,91531.09880981442,16.900000000000002,108493.09832153317,-0.00025801321949603384,1.0849309832153264,0.03971600244140916
2022-06-29,16949.000549316406,91531.09880981442,16.900000000000002,108480.09935913082,-0.00011981372643465882,1.084800993591303,0.0398459920654326
2022-06-30,16846.00067138672,91531.09880981442,16.900000000000002,108377.09948120113,-0.0009494817808812783,1.0837709948120062,0.04087599084472937
2022-07-01,16832.000732421875,91531.09880981442,16.900000000000002,108363.09954223629,-0.0001291780185284086,1.0836309954223577,0.04101599023437785
2022-07-05,16475.0,91531.09880981442,16.900000000000002,108006.09880981442,-0.0032944861666930336,1.0800609880981389,0.04458599755859671
2022-07-06,16213.999938964844,91531.09880981442,16.900000000000002,107745.09874877926,-0.0024165307691998983,1.0774509874877873,0.04719599816894826
2022-07-07,16222.999572753906,91531.09880981442,16.900000000000002,107754.09838256832,8.352708284253829e-05,1.077540983825678,0.04710600183105762
2022-07-08,16230.000305175781,91531.09880981442,16.900000000000002,107761.0991149902,6.496952345158569e-05,1.0776109911498968,0.04703599450683882
2022-07-11,16142.999267578125,91531.09880981442,16.900000000000002,107674.09807739254,-0.0008073510600037359,1.0767409807739203,0.04790600488281527
2022-07-12,16083.000183105469,91531.09880981442,16.900000000000002,107614.09899291988,-0.0005572285771971996,1.0761409899291938,0.04850599572754177
2022-07-13,16160.000610351562,91531.09880981442,16.900000000000002,107691.09942016598,0.000715523597434542,1.0769109942016548,0.047735991455080784
2022-07-14,15933.000183105469,91531.09880981442,16.900000000000002,107464.09899291988,-0.0021078847599134143,1.074640989929194,0.05000599572754161
2022-07-15,15900.999450683594,91531.09880981442,16.900000000000002,107432.09826049801,-0.00029778067951780063,1.074320982604975,0.05032600305176049
2022-07-18,15916.000366210938,91531.09880981442,16.900000000000002,107447.09917602535,0.00013963159772756306,1.0744709917602484,0.05017599389648719
2022-07-19,15953.999328613281,91531.09880981442,16.900000000000002,107485.0981384277,0.00035365275278476105,1.0748509813842717,0.04979600427246389
2022-07-20,15803.999328613281,91531.09880981442,16.900000000000002,107335.0981384277,-0.00139554229002814,1.0733509813842717,0.051296004272463946
2022-07-21,16027.000427246094,91531.09880981442,16.900000000000002,107558.09923706051,0.00207761582651389,1.0755809923706,0.0490659932861357
2022-07-22,16066.999816894531,91531.09880981442,16.900000000000002,107598.09862670895,0.00037188635660312386,1.0759809862670842,0.04866599938965144
2022-07-25,16022.999572753906,91531.09880981442,16.900000000000002,107554.09838256832,-0.00040893142817766126,1.075540983825678,0.04910600183105762
2022-07-26,16003.999328613281,91531.09880981442,16.900000000000002,107535.0981384277,-0.00017665755583795573,1.0753509813842719,0.04929600427246372
2022-07-27,16166.999816894531,91531.09880981442,16.900000000000002,107698.09862670895,0.0015157887155263783,1.0769809862670843,0.047665999389651326
2022-07-28,16363.999938964844,91531.09880981442,16.900000000000002,107895.09874877926,0.0018291884869121589,1.0789509874877874,0.045695998168948204
2022-07-29,16410.000610351562,91531.09880981442,16.900000000000002,107941.09942016598,0.0004263462559483955,1.0794109942016545,0.04523599145508106
2022-08-01,16502.999877929688,91531.09880981442,16.900000000000002,108034.0986877441,0.0008615742110993363,1.0803409868774358,0.04430599877929975
2022-08-02,16405.00030517578,91531.09880981442,16.900000000000002,107936.0991149902,-0.0009071170486381064,1.079360991149897,0.04528599450683868
2022-08-03,16444.99969482422,91531.09880981442,16.900000000000002,107976.09850463863,0.00037058398419431704,1.0797609850463812,0.044886000610354415
2022-08-04,16716.99981689453,91531.09880981442,16.900000000000002,108248.09862670895,0.002519077146120763,1.0824809862670843,0.042165999389651265
2022-08-05,16528.99932861328,91531.09880981442,16.900000000000002,108060.0981384277,-0.001736755570456383,1.0806009813842719,0.044046004272463746
2022-08-08,16669.000244140625,91531.09880981442,16.900000000000002,108200.09905395504,0.0012955838273254194,1.0820009905395453,0.04264599511719025
2022-08-09,16719.99969482422,91531.09880981442,16.900000000000002,108251.09850463863,0.00047134384468683344,1.0825109850463812,0.042136000610354385
2022-08-10,16677.999877929688,91531.09880981442,16.900000000000002,108209.0986877441,-0.0003879851334047668,1.0820909868774358,0.04255599877929983
2022-08-11,16633.999633789062,91531.09880981442,16.900000000000002,108165.09844360348,-0.0004066224067497126,1.0816509844360296,0.042996001220706015
2022-08-12,16786.99951171875,91531.09880981442,16.900000000000002,108318.09832153317,0.0014145032004890812,1.0831809832153265,0.04146600244140908
2022-08-15,16571.00067138672,91531.09880981442,16.900000000000002,108102.09948120113,-0.0019941158834866357,1.0810209948120062,0.0436259908447294
2022-08-16,16541.99981689453,91531.09880981442,16.900000000000002,108073.09862670895,-0.00026827281460184427,1.0807309862670842,0.043915999389651406
2022-08-17,16435.000610351562,91531.09880981442,16.900000000000002,107966.09942016598,-0.0009900632803409026,1.0796609942016546,0.044985991455080976
2022-08-18,16391.99981689453,91531.09880981442,16.900000000000002,107923.09862670895,-0.0003982805129384426,1.0792309862670844,0.04541599938965124
